longitude,latitude,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,median_house_age
-122.26,37.84,713.0,202.0,462.0,189.0,1.025,118800.0,NEAR BAY,49.0 years
-122.26,37.84,950.0,202.0,467.0,198.0,3.9643,188800.0,NEAR BAY,52.0 years
-122.26,37.83,1443.0,311.0,660.0,292.0,3.0125,184400.0,NEAR BAY,52.0 years
-122.26,37.83,1656.0,420.0,718.0,382.0,2.6768,182300.0,NEAR BAY,52.0 years
-122.26,37.83,1125.0,322.0,616.0,304.0,2.026,142500.0,NEAR BAY,50.0 years
-122.27,37.82,1007.0,312.0,558.0,253.0,1.7348,137500.0,NEAR BAY,43.0 years
-122.26,37.82,624.0,195.0,423.0,160.0,0.9506,187500.0,NEAR BAY,40.0 years
-122.27,37.82,946.0,375.0,700.0,352.0,1.775,112500.0,NEAR BAY,40.0 years
-122.27,37.82,896.0,453.0,735.0,438.0,0.9218,171900.0,NEAR BAY,21.0 years
-122.27,37.82,1868.0,456.0,1061.0,407.0,1.5045,93800.0,NEAR BAY,43.0 years
-122.27,37.82,3221.0,853.0,1959.0,720.0,1.1108,97500.0,NEAR BAY,41.0 years
-122.27,37.82,1630.0,456.0,1162.0,400.0,1.2475,104200.0,NEAR BAY,52.0 years
-122.28,37.82,1170.0,235.0,701.0,233.0,1.6098,87500.0,NEAR BAY,52.0 years
-122.28,37.82,945.0,243.0,576.0,220.0,1.4113,83100.0,NEAR BAY,52.0 years
-122.28,37.82,1238.0,288.0,622.0,259.0,1.5057,87500.0,NEAR BAY,52.0 years
-122.28,37.82,1489.0,335.0,728.0,244.0,0.8172,85300.0,NEAR BAY,52.0 years
-122.28,37.82,1387.0,341.0,1074.0,304.0,1.2171,80300.0,NEAR BAY,52.0 years
-122.29,37.82,158.0,43.0,94.0,57.0,2.5625,60000.0,NEAR BAY,2.0 years
-122.29,37.83,1121.0,211.0,554.0,187.0,3.3929,75700.0,NEAR BAY,52.0 years
-122.29,37.82,135.0,29.0,86.0,23.0,6.1183,75000.0,NEAR BAY,49.0 years
-122.29,37.81,760.0,190.0,377.0,122.0,0.9011,86100.0,NEAR BAY,50.0 years
-122.3,37.81,1224.0,237.0,521.0,159.0,1.1909999999999998,76100.0,NEAR BAY,52.0 years
-122.3,37.81,828.0,182.0,392.0,133.0,2.5938,73500.0,NEAR BAY,48.0 years
-122.3,37.81,1010.0,209.0,604.0,187.0,1.1667,78400.0,NEAR BAY,52.0 years
-122.3,37.81,1455.0,354.0,788.0,332.0,0.8056,84400.0,NEAR BAY,48.0 years
-122.29,37.8,1027.0,244.0,492.0,147.0,2.6094,81300.0,NEAR BAY,52.0 years
-122.3,37.81,572.0,109.0,274.0,82.0,1.8516,85000.0,NEAR BAY,52.0 years
-122.29,37.81,2801.0,644.0,1823.0,611.0,0.9802,129200.0,NEAR BAY,46.0 years
-122.29,37.81,768.0,152.0,392.0,127.0,1.7719,82500.0,NEAR BAY,26.0 years
-122.29,37.81,935.0,297.0,582.0,277.0,0.7286,95200.0,NEAR BAY,46.0 years
-122.29,37.81,844.0,204.0,560.0,152.0,1.75,75000.0,NEAR BAY,49.0 years
-122.29,37.81,12.0,4.0,18.0,7.0,0.4999,67500.0,NEAR BAY,46.0 years
-122.29,37.81,835.0,161.0,290.0,133.0,2.483,137500.0,NEAR BAY,20.0 years
-122.28,37.81,1237.0,462.0,762.0,439.0,0.9241,177500.0,NEAR BAY,17.0 years
-122.28,37.81,2914.0,562.0,1236.0,509.0,2.4464,102100.0,NEAR BAY,36.0 years
-122.28,37.81,1207.0,243.0,721.0,207.0,1.1111,108300.0,NEAR BAY,19.0 years
-122.29,37.81,1745.0,374.0,1054.0,325.0,0.8026,112500.0,NEAR BAY,23.0 years
-122.28,37.8,684.0,176.0,344.0,155.0,2.0114,131300.0,NEAR BAY,38.0 years
-122.28,37.81,924.0,289.0,609.0,289.0,1.5,162500.0,NEAR BAY,17.0 years
-122.27,37.81,210.0,56.0,183.0,56.0,1.1667,112500.0,NEAR BAY,52.0 years
-122.28,37.81,340.0,97.0,200.0,87.0,1.5208,112500.0,NEAR BAY,52.0 years
-122.28,37.81,386.0,164.0,346.0,155.0,0.8075,137500.0,NEAR BAY,52.0 years
-122.28,37.81,948.0,184.0,467.0,169.0,1.8088,118800.0,NEAR BAY,35.0 years
-122.28,37.81,773.0,143.0,377.0,115.0,2.4083,98200.0,NEAR BAY,52.0 years
-122.27,37.81,880.0,451.0,582.0,380.0,0.977,118800.0,NEAR BAY,40.0 years
-122.27,37.81,875.0,348.0,546.0,330.0,0.76,162500.0,NEAR BAY,10.0 years
-122.27,37.8,105.0,42.0,125.0,39.0,0.9722,137500.0,NEAR BAY,10.0 years
-122.27,37.8,249.0,78.0,396.0,85.0,1.2434,500001.0,NEAR BAY,52.0 years
-122.27,37.8,994.0,392.0,800.0,362.0,2.0938,162500.0,NEAR BAY,16.0 years
-122.28,37.8,215.0,87.0,904.0,88.0,0.8668,137500.0,NEAR BAY,52.0 years
-122.28,37.8,96.0,31.0,191.0,34.0,0.75,162500.0,NEAR BAY,52.0 years
-122.27,37.79,1055.0,347.0,718.0,302.0,2.6354,187500.0,NEAR BAY,27.0 years
-122.27,37.8,1715.0,623.0,1327.0,467.0,1.8477,179200.0,NEAR BAY,39.0 years
-122.26,37.8,5329.0,2477.0,3469.0,2323.0,2.0096,130000.0,NEAR BAY,36.0 years
-122.26,37.82,4596.0,1331.0,2048.0,1180.0,2.8345,183800.0,NEAR BAY,31.0 years
-122.26,37.81,335.0,107.0,202.0,91.0,2.0062,125000.0,NEAR BAY,29.0 years
-122.26,37.82,3682.0,1270.0,2024.0,1250.0,1.2185,170000.0,NEAR BAY,22.0 years
-122.26,37.82,3633.0,1085.0,1838.0,980.0,2.6104,193100.0,NEAR BAY,37.0 years
-122.25,37.81,4656.0,1414.0,2304.0,1250.0,2.4912,257800.0,NEAR BAY,29.0 years
-122.25,37.81,5806.0,1603.0,2563.0,1497.0,3.2177,273400.0,NEAR BAY,28.0 years
-122.25,37.81,854.0,242.0,389.0,228.0,3.125,237500.0,NEAR BAY,39.0 years
-122.25,37.81,2155.0,701.0,895.0,613.0,2.5795,350000.0,NEAR BAY,52.0 years
-122.26,37.81,5871.0,1914.0,2689.0,1789.0,2.8406,335700.0,NEAR BAY,34.0 years
-122.24,37.82,1509.0,225.0,674.0,244.0,4.9306,313400.0,NEAR BAY,52.0 years
-122.24,37.81,2026.0,482.0,709.0,456.0,3.2727,268500.0,NEAR BAY,52.0 years
-122.25,37.81,1758.0,460.0,686.0,422.0,3.1691,259400.0,NEAR BAY,52.0 years
-122.24,37.82,3481.0,751.0,1444.0,718.0,3.9,275700.0,NEAR BAY,52.0 years
-122.25,37.82,3337.0,855.0,1520.0,802.0,3.9063,225000.0,NEAR BAY,28.0 years
-122.25,37.82,1424.0,289.0,550.0,253.0,5.0917,262500.0,NEAR BAY,52.0 years
-122.25,37.82,3809.0,1098.0,1806.0,1022.0,2.6429,218500.0,NEAR BAY,32.0 years
-122.25,37.82,3959.0,1196.0,1749.0,1217.0,3.0233,255000.0,NEAR BAY,26.0 years
-122.25,37.83,2376.0,559.0,939.0,519.0,3.1484,224100.0,NEAR BAY,52.0 years
-122.25,37.83,1613.0,428.0,675.0,422.0,3.4722,243100.0,NEAR BAY,35.0 years
-122.25,37.83,1279.0,287.0,534.0,291.0,3.1429,231600.0,NEAR BAY,52.0 years
-122.25,37.83,5022.0,1750.0,2558.0,1661.0,2.4234,218500.0,NEAR BAY,28.0 years
-122.25,37.83,4190.0,1105.0,1786.0,1037.0,3.0897,234100.0,NEAR BAY,52.0 years
-122.23,37.84,2515.0,399.0,970.0,373.0,5.8596,327600.0,NEAR BAY,50.0 years
-122.23,37.84,3175.0,454.0,1098.0,485.0,5.2868,347600.0,NEAR BAY,47.0 years
-122.24,37.83,2576.0,406.0,794.0,376.0,5.956,366100.0,NEAR BAY,41.0 years
-122.24,37.85,334.0,54.0,98.0,47.0,4.9643,335000.0,NEAR BAY,37.0 years
-122.23,37.85,2800.0,411.0,1061.0,403.0,6.3434,373600.0,NEAR BAY,52.0 years
-122.24,37.84,3529.0,574.0,1177.0,555.0,5.1773,389500.0,NEAR BAY,52.0 years
-122.24,37.85,2612.0,365.0,901.0,367.0,7.2354,391100.0,NEAR BAY,52.0 years
-122.22,37.85,5287.0,1048.0,2031.0,956.0,5.457000000000002,337300.0,NEAR BAY,28.0 years
-122.22,37.84,2935.0,473.0,1031.0,479.0,7.5,295200.0,NEAR BAY,50.0 years
-122.21,37.84,3424.0,597.0,1358.0,597.0,6.0194,292300.0,NEAR BAY,44.0 years
-122.21,37.83,4991.0,674.0,1616.0,654.0,7.5544,411500.0,NEAR BAY,40.0 years
-122.2,37.84,2211.0,346.0,844.0,343.0,6.0666,311500.0,NEAR BAY,30.0 years
-122.21,37.84,3038.0,490.0,1140.0,496.0,7.0548,325900.0,NEAR BAY,34.0 years
-122.19,37.84,1617.0,210.0,533.0,194.0,11.6017,392600.0,NEAR BAY,18.0 years
-122.2,37.84,2865.0,460.0,1072.0,443.0,7.4882,319300.0,NEAR BAY,35.0 years
-122.21,37.83,5065.0,788.0,1627.0,766.0,6.8976,333300.0,NEAR BAY,34.0 years
-122.19,37.83,1326.0,184.0,463.0,190.0,8.2049,335200.0,NEAR BAY,28.0 years
-122.2,37.83,1589.0,223.0,542.0,211.0,8.401,351200.0,NEAR BAY,26.0 years
-122.19,37.83,1791.0,271.0,661.0,269.0,6.8538,368900.0,NEAR BAY,29.0 years
-122.19,37.82,1835.0,264.0,635.0,263.0,8.317,365900.0,NEAR BAY,32.0 years
-122.2,37.82,1229.0,181.0,420.0,176.0,7.0175,366700.0,NEAR BAY,37.0 years
-122.2,37.82,3770.0,534.0,1265.0,500.0,6.3302,362800.0,NEAR BAY,39.0 years
-122.18,37.81,292.0,38.0,126.0,52.0,6.3624,483300.0,NEAR BAY,30.0 years
-122.21,37.82,2375.0,333.0,813.0,350.0,7.0549,331400.0,NEAR BAY,52.0 years
-122.2,37.81,2964.0,436.0,1067.0,426.0,6.7851,323500.0,NEAR BAY,45.0 years
-122.21,37.8,2833.0,605.0,1260.0,552.0,2.8929,216700.0,NEAR BAY,50.0 years
-122.21,37.8,2254.0,535.0,951.0,487.0,3.0812,233100.0,NEAR BAY,38.0 years
-122.21,37.81,1389.0,212.0,510.0,224.0,5.2402,296400.0,NEAR BAY,52.0 years
-122.22,37.81,1971.0,335.0,765.0,308.0,6.5217,273700.0,NEAR BAY,52.0 years
-122.22,37.8,2183.0,465.0,1129.0,460.0,3.2632,227700.0,NEAR BAY,52.0 years
-122.22,37.8,2286.0,464.0,1073.0,441.0,3.0298,199600.0,NEAR BAY,52.0 years
-122.22,37.8,2721.0,541.0,1185.0,515.0,4.5428,239800.0,NEAR BAY,52.0 years
-122.22,37.81,2024.0,339.0,756.0,340.0,4.072,270100.0,NEAR BAY,52.0 years
-122.22,37.81,2944.0,536.0,1034.0,521.0,5.3509,302100.0,NEAR BAY,52.0 years
-122.23,37.8,2033.0,486.0,787.0,459.0,3.1603,269500.0,NEAR BAY,52.0 years
-122.23,37.81,1433.0,229.0,612.0,213.0,4.7708,314700.0,NEAR BAY,52.0 years
-122.22,37.81,2927.0,402.0,1021.0,380.0,8.1564,390100.0,NEAR BAY,52.0 years
-122.23,37.81,2315.0,292.0,861.0,258.0,8.8793,410300.0,NEAR BAY,52.0 years
-122.24,37.81,2485.0,313.0,953.0,327.0,6.8591,352400.0,NEAR BAY,52.0 years
-122.24,37.81,1490.0,238.0,634.0,256.0,6.0302,287300.0,NEAR BAY,52.0 years
-122.23,37.81,2814.0,365.0,878.0,352.0,7.507999999999999,348700.0,NEAR BAY,52.0 years
-122.24,37.81,2093.0,550.0,918.0,483.0,2.7477,243800.0,NEAR BAY,52.0 years
-122.24,37.8,888.0,168.0,360.0,175.0,2.1944,211500.0,NEAR BAY,52.0 years
-122.25,37.8,2087.0,510.0,1197.0,488.0,3.0149,218400.0,NEAR BAY,52.0 years
-122.24,37.81,2513.0,502.0,1048.0,518.0,3.675,269900.0,NEAR BAY,52.0 years
-122.25,37.81,3232.0,835.0,1373.0,747.0,3.225,218800.0,NEAR BAY,46.0 years
-122.25,37.8,4120.0,1065.0,1715.0,1015.0,2.9345,225000.0,NEAR BAY,42.0 years
-122.25,37.8,2364.0,792.0,1359.0,722.0,2.1429,250000.0,NEAR BAY,43.0 years
-122.25,37.8,1471.0,469.0,1062.0,413.0,1.6121,171400.0,NEAR BAY,41.0 years
-122.25,37.8,2468.0,864.0,1335.0,773.0,1.3929,193800.0,NEAR BAY,29.0 years
-122.24,37.79,1632.0,492.0,1171.0,429.0,2.3173,125000.0,NEAR BAY,27.0 years
-122.25,37.79,1786.0,526.0,1475.0,460.0,1.7772,97500.0,NEAR BAY,45.0 years
-122.25,37.79,629.0,188.0,742.0,196.0,2.6458,125000.0,NEAR BAY,50.0 years
-122.25,37.79,1339.0,391.0,1086.0,363.0,2.181,138800.0,NEAR BAY,52.0 years
-122.25,37.8,1678.0,606.0,1645.0,543.0,2.2303,116700.0,NEAR BAY,36.0 years
-122.25,37.8,2344.0,647.0,1710.0,644.0,1.6504,151800.0,NEAR BAY,43.0 years
-122.24,37.8,996.0,228.0,731.0,228.0,2.2697,127000.0,NEAR BAY,52.0 years
-122.24,37.8,1591.0,373.0,1118.0,347.0,2.1563,128600.0,NEAR BAY,52.0 years
-122.24,37.8,1586.0,398.0,1006.0,335.0,2.1348,140600.0,NEAR BAY,52.0 years
-122.24,37.8,2046.0,588.0,1213.0,554.0,2.6292,182700.0,NEAR BAY,47.0 years
-122.23,37.8,1192.0,289.0,772.0,257.0,2.3833,146900.0,NEAR BAY,52.0 years
-122.24,37.8,1803.0,420.0,1321.0,401.0,2.957,122800.0,NEAR BAY,52.0 years
-122.24,37.8,2838.0,749.0,1487.0,677.0,2.5238,169300.0,NEAR BAY,49.0 years
-122.23,37.8,783.0,184.0,488.0,186.0,1.9375,126600.0,NEAR BAY,52.0 years
-122.23,37.8,1590.0,414.0,949.0,392.0,1.9028,127900.0,NEAR BAY,51.0 years
-122.23,37.8,1746.0,480.0,1149.0,415.0,2.25,123500.0,NEAR BAY,50.0 years
-122.23,37.8,1252.0,299.0,844.0,280.0,2.3929,111900.0,NEAR BAY,52.0 years
-122.23,37.79,5963.0,1344.0,4367.0,1231.0,2.1917,112800.0,NEAR BAY,43.0 years
-122.23,37.79,1783.0,395.0,1659.0,412.0,2.9357,107900.0,NEAR BAY,52.0 years
-122.23,37.79,999.0,264.0,1011.0,263.0,1.8854,137500.0,NEAR BAY,30.0 years
-122.24,37.79,1469.0,431.0,1464.0,389.0,2.1638,105500.0,NEAR BAY,39.0 years
-122.24,37.79,1372.0,395.0,1237.0,303.0,2.125,95500.0,NEAR BAY,47.0 years
-122.24,37.79,674.0,180.0,647.0,168.0,3.375,116100.0,NEAR BAY,52.0 years
-122.24,37.79,1626.0,376.0,1284.0,357.0,2.2542,112200.0,NEAR BAY,43.0 years
-122.25,37.79,175.0,43.0,228.0,55.0,2.1,75000.0,NEAR BAY,51.0 years
-122.25,37.79,461.0,129.0,381.0,123.0,1.6,112500.0,NEAR BAY,39.0 years
-122.25,37.79,902.0,237.0,846.0,227.0,3.625,125000.0,NEAR BAY,52.0 years
-122.26,37.8,2373.0,779.0,1659.0,676.0,1.6929,115000.0,NEAR BAY,20.0 years
-122.22,37.77,391.0,128.0,520.0,138.0,1.6471,95000.0,NEAR BAY,52.0 years
-122.22,37.77,1137.0,301.0,866.0,259.0,2.59,96400.0,NEAR BAY,52.0 years
-122.23,37.77,769.0,206.0,612.0,183.0,2.57,72000.0,NEAR BAY,52.0 years
-122.23,37.78,472.0,146.0,415.0,126.0,2.6429,71300.0,NEAR BAY,52.0 years
-122.23,37.78,862.0,215.0,994.0,213.0,3.0257,80800.0,NEAR BAY,52.0 years
-122.22,37.78,1920.0,530.0,1525.0,477.0,1.4886,128800.0,NEAR BAY,50.0 years
-122.23,37.78,1420.0,472.0,1506.0,438.0,1.9338,112500.0,NEAR BAY,43.0 years
-122.23,37.78,986.0,258.0,1008.0,255.0,1.4844,119400.0,NEAR BAY,52.0 years
-122.23,37.78,2340.0,825.0,2813.0,751.0,1.6009,118100.0,NEAR BAY,44.0 years
-122.23,37.79,1696.0,396.0,1481.0,343.0,2.0375,122500.0,NEAR BAY,48.0 years
-122.23,37.79,1175.0,217.0,859.0,219.0,2.293,106300.0,NEAR BAY,49.0 years
-122.22,37.79,2343.0,574.0,1608.0,523.0,2.1494,132500.0,NEAR BAY,37.0 years
-122.23,37.79,610.0,145.0,425.0,140.0,1.6198,122700.0,NEAR BAY,30.0 years
-122.23,37.79,930.0,199.0,564.0,184.0,1.3281,113300.0,NEAR BAY,40.0 years
-122.22,37.79,1487.0,314.0,961.0,272.0,3.5156,109500.0,NEAR BAY,44.0 years
-122.22,37.79,3424.0,690.0,2273.0,685.0,3.9048,164700.0,NEAR BAY,52.0 years
-122.21,37.79,762.0,190.0,600.0,195.0,3.0893,125000.0,NEAR BAY,52.0 years
-122.22,37.79,2366.0,575.0,1647.0,527.0,2.6042,124700.0,NEAR BAY,46.0 years
-122.22,37.79,1826.0,450.0,1201.0,424.0,2.5,136700.0,NEAR BAY,49.0 years
-122.22,37.79,3049.0,711.0,2167.0,659.0,2.7969,141700.0,NEAR BAY,38.0 years
-122.2,37.79,1640.0,376.0,939.0,340.0,2.8321,150000.0,NEAR BAY,29.0 years
-122.21,37.79,1543.0,307.0,859.0,292.0,2.9583,138800.0,NEAR BAY,47.0 years
-122.21,37.79,2364.0,557.0,1517.0,516.0,2.8365,139200.0,NEAR BAY,34.0 years
-122.21,37.79,1745.0,409.0,1143.0,386.0,2.875,143800.0,NEAR BAY,35.0 years
-122.21,37.8,2003.0,500.0,1109.0,464.0,3.0682,156500.0,NEAR BAY,39.0 years
-122.21,37.8,2018.0,447.0,1221.0,446.0,3.0757,151000.0,NEAR BAY,39.0 years
-122.2,37.8,3045.0,499.0,1115.0,455.0,4.9559,273000.0,NEAR BAY,43.0 years
-122.2,37.8,1547.0,293.0,706.0,268.0,4.7721,217100.0,NEAR BAY,52.0 years
-122.21,37.8,3519.0,711.0,1883.0,706.0,3.4861,187100.0,NEAR BAY,52.0 years
-122.2,37.8,2070.0,354.0,804.0,340.0,5.1184,239600.0,NEAR BAY,41.0 years
-122.21,37.8,1321.0,263.0,506.0,252.0,4.0977,229700.0,NEAR BAY,48.0 years
-122.19,37.8,1694.0,259.0,610.0,238.0,4.744,257300.0,NEAR BAY,48.0 years
-122.19,37.8,1938.0,341.0,768.0,332.0,4.2727,246900.0,NEAR BAY,46.0 years
-122.19,37.79,968.0,195.0,462.0,184.0,2.9844,179900.0,NEAR BAY,50.0 years
-122.2,37.79,1060.0,256.0,667.0,235.0,4.1739,169600.0,NEAR BAY,40.0 years
-122.2,37.8,2041.0,405.0,1059.0,399.0,3.8487,203300.0,NEAR BAY,46.0 years
-122.19,37.8,1813.0,271.0,637.0,277.0,4.0114,263400.0,NEAR BAY,52.0 years
-122.19,37.79,2718.0,451.0,1106.0,454.0,4.6563,231800.0,NEAR BAY,45.0 years
-122.19,37.79,3144.0,761.0,1737.0,669.0,2.9297,140500.0,NEAR BAY,28.0 years
-122.2,37.79,1802.0,459.0,1009.0,390.0,2.3036,126000.0,NEAR BAY,35.0 years
-122.2,37.79,882.0,195.0,737.0,210.0,2.6667,122000.0,NEAR BAY,49.0 years
-122.2,37.79,1621.0,452.0,1354.0,491.0,2.619,134700.0,NEAR BAY,44.0 years
-122.21,37.79,2115.0,533.0,1530.0,474.0,2.4167,139400.0,NEAR BAY,45.0 years
-122.2,37.79,2021.0,528.0,1410.0,480.0,2.7788,115400.0,NEAR BAY,45.0 years
-122.21,37.78,2239.0,508.0,1390.0,569.0,2.7352,137300.0,NEAR BAY,46.0 years
-122.21,37.78,1477.0,300.0,1065.0,269.0,1.8472,137000.0,NEAR BAY,52.0 years
-122.21,37.78,1056.0,224.0,792.0,245.0,2.6583,142600.0,NEAR BAY,52.0 years
-122.21,37.78,898.0,244.0,779.0,245.0,3.0536,137500.0,NEAR BAY,49.0 years
-122.22,37.78,2968.0,710.0,2269.0,610.0,2.3906,111700.0,NEAR BAY,44.0 years
-122.21,37.78,1702.0,460.0,1227.0,407.0,1.7188,126800.0,NEAR BAY,43.0 years
-122.21,37.78,881.0,248.0,753.0,241.0,2.625,111300.0,NEAR BAY,47.0 years
-122.22,37.77,494.0,114.0,547.0,135.0,2.8015,114800.0,NEAR BAY,40.0 years
-122.22,37.78,1776.0,473.0,1807.0,440.0,1.7276,102300.0,NEAR BAY,50.0 years
-122.22,37.78,1678.0,514.0,1700.0,495.0,2.0801,131900.0,NEAR BAY,44.0 years
-122.22,37.78,1637.0,463.0,1543.0,393.0,2.489,119100.0,NEAR BAY,51.0 years
-122.21,37.76,1420.0,314.0,1085.0,300.0,1.7546,80600.0,NEAR BAY,52.0 years
-122.21,37.77,591.0,173.0,353.0,137.0,4.0904,80600.0,NEAR BAY,52.0 years
-122.21,37.77,745.0,153.0,473.0,149.0,2.6765,88800.0,NEAR BAY,52.0 years
-122.2,37.77,2272.0,498.0,1621.0,483.0,2.4338,102400.0,NEAR BAY,49.0 years
-122.21,37.77,1234.0,375.0,1183.0,354.0,2.3309,98700.0,NEAR BAY,46.0 years
-122.21,37.77,1017.0,328.0,836.0,277.0,2.2604,100000.0,NEAR BAY,43.0 years
-122.19,37.77,932.0,254.0,900.0,263.0,1.8039,92300.0,NEAR BAY,42.0 years
-122.2,37.77,2689.0,597.0,1888.0,537.0,2.2562,94800.0,NEAR BAY,39.0 years
-122.2,37.77,1547.0,415.0,1024.0,341.0,2.0562,102000.0,NEAR BAY,41.0 years
-122.2,37.78,2300.0,443.0,1225.0,423.0,3.5398,158400.0,NEAR BAY,52.0 years
-122.2,37.78,1752.0,399.0,1071.0,376.0,3.1167,121600.0,NEAR BAY,39.0 years
-122.2,37.78,1867.0,403.0,1128.0,378.0,2.5401,129100.0,NEAR BAY,50.0 years
-122.2,37.77,2430.0,502.0,1537.0,484.0,2.898,121400.0,NEAR BAY,43.0 years
-122.21,37.78,1729.0,414.0,1240.0,393.0,2.3125,102800.0,NEAR BAY,44.0 years
-122.19,37.78,1026.0,180.0,469.0,168.0,2.875,160000.0,NEAR BAY,52.0 years
-122.19,37.77,2170.0,428.0,1086.0,425.0,3.3715,143900.0,NEAR BAY,52.0 years
-122.19,37.77,2329.0,445.0,1144.0,417.0,3.5114,151200.0,NEAR BAY,52.0 years
-122.19,37.78,2492.0,415.0,1109.0,375.0,4.3125,164400.0,NEAR BAY,52.0 years
-122.19,37.78,2198.0,397.0,984.0,369.0,3.22,156500.0,NEAR BAY,52.0 years
-122.18,37.78,142.0,31.0,575.0,47.0,3.875,225000.0,NEAR BAY,33.0 years
-122.19,37.78,1183.0,205.0,496.0,209.0,5.2328,174200.0,NEAR BAY,49.0 years
-122.19,37.78,1070.0,193.0,555.0,190.0,3.7262,166900.0,NEAR BAY,52.0 years
-122.2,37.78,1766.0,332.0,869.0,327.0,4.5893,163500.0,NEAR BAY,45.0 years
-122.18,37.79,617.0,95.0,236.0,106.0,5.2578,253000.0,NEAR BAY,39.0 years
-122.18,37.79,1411.0,233.0,626.0,214.0,7.0875,240700.0,NEAR BAY,41.0 years
-122.18,37.79,2109.0,387.0,922.0,329.0,3.9712,208100.0,NEAR BAY,46.0 years
